Breed	 AverageDailyGain	 Backfat	 MuscleThikness	 FrontLegs	 BackLegs
Landrace	 0.89	 14.9	 63.7	 3	 3
Landrace	 1	 11.2	 70.9	 4	 3
Landrace	 0.84	 11.6	 59.1	 3	 3
Landrace	 0.95	 15.8	 67	 3	 4
Landrace	 0.91	 13.9	 58.4	 3	 3
Landrace	 0.86	 12.9	 57.4	 3	 3
Landrace	 0.83	 14.5	 60.7	 3	 3
Landrace	 0.83	 14.2	 61	 3	 3
Landrace	 0.86	 14.2	 66	 3	 3
Landrace	 0.85	 11.6	 62.7	 3	 4
Landrace	 0.98	 11.2	 66.3	 3	 3
Landrace	 0.85	 8.9	 64.3	 3	 3
Landrace	 0.67	 8.9	 54.1	 3	 3
Landrace	 0.85	 11.9	 60.1	 3	 4
Landrace	 0.94	 13.9	 70.6	 3	 4
Landrace	 0.89	 22.1	 65.3	 3	 3
Landrace	 0.73	 8.3	 60.1	 4	 4
Landrace	 0.82	 10.2	 63.4	 4	 4
Landrace	 0.61	 14.2	 50.5	 3	 3
Landrace	 0.79	 12.2	 66.7	 3	 3
Landrace	 0.72	 8.9	 51.1	 3	 3
Landrace	 0.84	 11.2	 62.7	 3	 3
Landrace	 0.81	 10.2	 51.1	 3	 3
Landrace	 0.8	 8.9	 57.4	 3	 3
Landrace	 0.89	 14.2	 61.7	 3	 3
Landrace	 0.73	 12.9	 59.4	 3	 3
Landrace	 0.58	 10.6	 48.8	 3	 3
Landrace	 0.88	 10.2	 55.4	 3	 3
Landrace	 0.97	 15.2	 61.7	 3	 3
Landrace	 0.83	 13.2	 62	 3	 3
Landrace	 0.89	 16.8	 61	 3	 3
Landrace	 0.8	 11.6	 50.8	 3	 3
Landrace	 0.87	 13.2	 59.4	 3	 3
Landrace	 0.71	 8.9	 51.8	 3	 3
Landrace	 0.83	 15.5	 62	 3	 3
Landrace	 0.91	 11.9	 65	 3	 3
Landrace	 0.66	 7.6	 51.8	 3	 3
Landrace	 0.79	 10.6	 57.7	 3	 3
Landrace	 0.96	 13.2	 60.1	 3	 3
Landrace	 0.63	 9.2	 52.1	 3	 3
Landrace	 0.83	 10.2	 62.4	 3	 3
Landrace	 0.71	 8.6	 54.1	 3	 3
Landrace	 0.83	 11.2	 57.1	 3	 2
Landrace	 0.78	 11.9	 61	 3	 3
Landrace	 0.83	 10.2	 64	 3	 3
Landrace	 0.83	 14.2	 59.7	 3	 3
Landrace	 0.76	 12.2	 57.4	 3	 3
Landrace	 0.81	 13.5	 61.4	 3	 3
Landrace	 0.86	 11.9	 60.1	 3	 3
Landrace	 0.93	 15.5	 59.4	 3	 3
Landrace	 0.9	 13.9	 61.7	 3	 3
Landrace	 0.89	 11.6	 57.1	 3	 3
Landrace	 0.99	 17.2	 58.7	 3	 3
Landrace	 1.1	 16.8	 64	 3	 3
Landrace	 0.89	 16.5	 56.1	 3	 3
Landrace	 0.9	 14.9	 62.4	 4	 4
Landrace	 0.77	 12.5	 52.1	 4	 4
Landrace	 0.82	 13.5	 71.9	 4	 3
Landrace	 0.86	 15.5	 62	 3	 4
Landrace	 0.75	 11.2	 60.4	 4	 3
Landrace	 0.8	 9.2	 62	 3	 3
Landrace	 0.9	 13.5	 67.6	 4	 4
Landrace	 1	 17.5	 67	 4	 4
Landrace	 1.03	 23.1	 61.4	 3	 3
Landrace	 0.95	 18.8	 70	 3	 3
Landrace	 0.83	 12.9	 60.4	 4	 4
Landrace	 0.87	 17.2	 57.1	 4	 3
Landrace	 0.78	 14.2	 54.8	 4	 4
Landrace	 1.01	 18.8	 70	 3	 3
Landrace	 0.89	 15.5	 67	 3	 3
Landrace	 0.76	 13.9	 59.1	 4	 4
Landrace	 0.9	 12.9	 51.1	 4	 3
Landrace	 0.72	 7.9	 62.7	 3	 4
Landrace	 0.83	 7.9	 64	 3	 3
Landrace	 0.84	 16.2	 60.1	 3	 4
Landrace	 0.81	 10.6	 68.3	 4	 3
Landrace	 0.67	 10.6	 50.8	 3	 3
Landrace	 0.83	 17.5	 68	 3	 4
Landrace	 0.87	 8.9	 58.4	 3	 4
Landrace	 0.81	 10.2	 70.3	 3	 3
Landrace	 0.84	 12.9	 60.4	 3	 4
Landrace	 0.84	 17.5	 58.1	 4	 3
Landrace	 0.7	 11.9	 57.4	 3	 3
Landrace	 0.97	 17.5	 64.3	 3	 3
Landrace	 0.87	 11.2	 64.3	 3	 3
Landrace	 0.91	 12.9	 74.2	 4	 4
Landrace	 0.96	 15.8	 70	 4	 4
Landrace	 0.82	 17.2	 68.6	 4	 3
Landrace	 0.78	 9.2	 55.1	 4	 3
Landrace	 0.88	 8.3	 63.7	 3	 3
Landrace	 0.73	 11.9	 61.7	 3	 3
Landrace	 0.79	 11.6	 64	 3	 3
Landrace	 0.77	 11.9	 58.7	 4	 4
Landrace	 0.79	 14.2	 66	 3	 4
Landrace	 0.75	 9.9	 57.7	 3	 4
Landrace	 0.83	 13.5	 59.1	 4	 3
Landrace	 0.86	 15.8	 56.4	 3	 3
Landrace	 0.69	 11.9	 50.8	 3	 3
Landrace	 0.8	 13.2	 59.4	 4	 3
Landrace	 0.79	 10.2	 61	 3	 4
Landrace	 0.74	 10.6	 54.8	 3	 4
Landrace	 0.95	 12.9	 61	 4	 3
Landrace	 0.94	 14.5	 63.4	 3	 3
Landrace	 0.61	 7.9	 51.1	 4	 3
Landrace	 0.78	 12.9	 64	 3	 3
Landrace	 0.8	 15.2	 65.3	 3	 3
Landrace	 0.8	 14.9	 47.2	 3	 4
Landrace	 0.88	 12.2	 60.4	 4	 3
Landrace	 0.96	 17.5	 70	 4	 3
Landrace	 0.9	 18.2	 67.6	 4	 4
Landrace	 1	 18.5	 66.7	 4	 3
Landrace	 0.88	 18.2	 57.1	 4	 4
Landrace	 1	 21.5	 56.4	 4	 3
Landrace	 0.85	 12.9	 65	 4	 3
Landrace	 0.77	 12.5	 49.5	 3	 3
Landrace	 0.79	 17.5	 61.7	 3	 4
Landrace	 0.88	 20.1	 64.3	 4	 4
Landrace	 0.84	 17.8	 57.4	 4	 4
Landrace	 0.8	 11.9	 60.7	 3	 2
Landrace	 0.96	 13.9	 57.4	 4	 3
Landrace	 0.87	 16.5	 62.7	 4	 3
Landrace	 0.75	 13.2	 64.7	 3	 3
Landrace	 0.86	 12.9	 61.7	 4	 3
Landrace	 0.78	 13.2	 54.4	 3	 4
Landrace	 0.77	 16.2	 59.4	 3	 3
Landrace	 0.78	 15.5	 61.4	 3	 4
Landrace	 0.84	 16.5	 60.7	 3	 4
Landrace	 0.79	 15.5	 56.4	 3	 3
Landrace	 0.89	 14.5	 65.3	 3	 3
Landrace	 0.84	 11.9	 62	 3	 3
Landrace	 0.84	 14.5	 66.3	 3	 4
Landrace	 0.67	 13.5	 68	 3	 4
Landrace	 0.78	 17.8	 69.3	 3	 4
Landrace	 0.7	 14.2	 64.7	 3	 3
Landrace	 0.74	 11.6	 57.1	 3	 3
Landrace	 0.65	 11.6	 61	 3	 3
Landrace	 0.7	 19.8	 62.7	 3	 3
Landrace	 0.84	 14.5	 67	 3	 3
Landrace	 0.75	 10.2	 61.4	 4	 3
Landrace	 0.9	 12.5	 63.4	 3	 3
Landrace	 0.88	 14.2	 53.8	 3	 3
Landrace	 0.8	 9.2	 49.8	 4	 3
Landrace	 0.82	 12.9	 55.8	 4	 4
Landrace	 0.79	 12.9	 67.6	 4	 3
Landrace	 0.73	 9.9	 54.4	 3	 3
Landrace	 0.88	 9.2	 56.8	 3	 4
Landrace	 0.89	 17.2	 52.8	 3	 3
Landrace	 0.76	 9.6	 54.8	 3	 3
Landrace	 0.76	 13.5	 56.4	 3	 3
Landrace	 0.87	 11.6	 69.6	 3	 3
Landrace	 0.78	 14.5	 68.3	 3	 3
Landrace	 0.82	 13.5	 60.1	 3	 3
Landrace	 0.79	 11.9	 63.7	 3	 3
Landrace	 0.78	 12.5	 55.4	 3	 3
Landrace	 0.79	 14.2	 55.1	 3	 3
Landrace	 0.83	 13.2	 52.8	 3	 3
Landrace	 0.77	 11.9	 54.8	 3	 3
Landrace	 0.77	 12.9	 64.3	 3	 3
Landrace	 0.76	 13.5	 64	 3	 3
Landrace	 0.73	 8.9	 56.4	 3	 4
Landrace	 0.74	 9.6	 62	 3	 3
Landrace	 0.8	 10.6	 57.4	 3	 3
Landrace	 0.7	 12.5	 56.4	 3	 4
Landrace	 0.71	 9.9	 49.8	 3	 3
Landrace	 0.79	 9.6	 55.8	 3	 3
Landrace	 0.77	 13.5	 55.4	 3	 3
Landrace	 0.78	 12.2	 55.1	 3	 3
Landrace	 0.82	 12.5	 58.1	 3	 3
Landrace	 0.77	 12.9	 54.8	 3	 3
Landrace	 0.83	 16.2	 63.7	 3	 3
Landrace	 0.79	 18.8	 59.1	 3	 3
Landrace	 0.75	 16.5	 48.5	 3	 3
Landrace	 0.82	 13.2	 60.7	 3	 3
Landrace	 0.8	 17.5	 56.1	 3	 3
Landrace	 0.91	 14.9	 60.4	 3	 3
Landrace	 0.76	 13.2	 57.4	 3	 3
Landrace	 0.9	 13.5	 63	 4	 3
Landrace	 0.66	 9.2	 54.4	 3	 3
Landrace	 0.8	 10.2	 65.3	 3	 3
Landrace	 0.93	 11.6	 62	 3	 3
Landrace	 0.92	 18.2	 62.4	 4	 4
Landrace	 0.82	 17.2	 50.8	 4	 3
Landrace	 0.88	 14.5	 60.4	 4	 4
Landrace	 0.79	 17.8	 52.1	 3	 3
Landrace	 0.86	 18.5	 54.4	 4	 3
Landrace	 0.75	 18.2	 55.8	 4	 3
Landrace	 0.78	 9.6	 60.1	 4	 3
Landrace	 0.96	 14.2	 57.4	 3	 4
Landrace	 0.97	 15.5	 55.1	 4	 3
Landrace	 0.89	 12.5	 62.4	 4	 4
Landrace	 0.8	 17.5	 53.5	 4	 4
Landrace	 1	 11.6	 63.7	 4	 4
Landrace	 0.62	 8.9	 56.1	 3	 3
Landrace	 0.81	 15.5	 61.4	 3	 3
Landrace	 0.7	 9.9	 55.4	 3	 3
Landrace	 0.93	 16.8	 66.7	 3	 3
Landrace	 0.9	 11.9	 58.4	 3	 3
Landrace	 0.85	 18.8	 62.7	 3	 3
Landrace	 0.94	 14.5	 58.4	 3	 3
Landrace	 0.83	 19.1	 63	 4	 3
Landrace	 0.72	 12.5	 52.8	 3	 3
Landrace	 0.75	 12.5	 50.2	 3	 3
Landrace	 1	 17.5	 58.1	 3	 3
Landrace	 0.66	 13.2	 58.4	 3	 3
Landrace	 0.76	 19.8	 61.4	 4	 4
Landrace	 0.74	 19.5	 64.3	 3	 3
Landrace	 0.8	 11.9	 62	 4	 3
Landrace	 0.61	 14.2	 51.8	 4	 4
Landrace	 0.71	 8.9	 60.1	 3	 3
Landrace	 0.71	 16.2	 57.1	 3	 3
Landrace	 0.72	 11.2	 61.4	 4	 4
Landrace	 0.61	 12.5	 44.2	 3	 4
Landrace	 0.74	 12.5	 65.3	 3	 4
Landrace	 0.73	 10.9	 60.7	 4	 3
Landrace	 0.7	 7.3	 60.1	 4	 4
Landrace	 0.81	 14.5	 58.1	 3	 4
Landrace	 0.71	 11.9	 64	 3	 4
Landrace	 0.74	 16.5	 57.7	 3	 4
Landrace	 0.71	 12.9	 62.7	 4	 3
Landrace	 0.63	 17.2	 55.1	 3	 4
Landrace	 0.74	 10.2	 61.4	 3	 4
Landrace	 0.59	 12.5	 54.8	 4	 4
Landrace	 0.67	 7.6	 60.7	 4	 4
Landrace	 0.75	 11.6	 57.7	 3	 3
Landrace	 0.63	 8.3	 52.8	 3	 4
Landrace	 0.8	 15.8	 58.7	 4	 4
Landrace	 0.83	 9.9	 64.7	 3	 4
Landrace	 0.71	 9.6	 57.1	 3	 3
Landrace	 0.79	 17.2	 55.4	 3	 3
Landrace	 0.59	 10.9	 57.4	 4	 4
Landrace	 0.77	 15.2	 61.7	 3	 3
Landrace	 0.63	 17.5	 60.1	 4	 4
Landrace	 0.79	 12.9	 66	 3	 4
Landrace	 0.76	 11.6	 62	 4	 4
Landrace	 0.89	 17.8	 68.3	 3	 3
Landrace	 0.85	 18.5	 63.7	 3	 3
Landrace	 0.92	 14.9	 65.7	 3	 3
Landrace	 0.63	 10.2	 49.2	 3	 3
Landrace	 0.69	 15.2	 57.4	 3	 3
Landrace	 0.62	 10.6	 54.8	 3	 3
Landrace	 0.67	 10.9	 50.8	 3	 3
Landrace	 0.92	 12.9	 64	 3	 3
Landrace	 0.79	 15.8	 60.1	 3	 3
Landrace	 0.99	 14.2	 64.3	 3	 3
Landrace	 0.92	 14.5	 68.3	 3	 3
Landrace	 0.96	 12.9	 66	 3	 3
Landrace	 0.95	 18.5	 66.7	 3	 3
Landrace	 0.75	 11.6	 56.1	 3	 3
Landrace	 0.89	 15.5	 56.1	 3	 3
Landrace	 0.84	 16.2	 59.4	 3	 3
Landrace	 0.83	 11.9	 58.7	 3	 3
Landrace	 0.77	 13.2	 58.7	 3	 3
Landrace	 0.75	 9.2	 58.7	 3	 3
Landrace	 0.88	 13.2	 59.4	 3	 3
Landrace	 0.94	 10.9	 58.7	 3	 3
Landrace	 0.92	 21.8	 68	 3	 3
Landrace	 1.01	 14.2	 66	 3	 3
Landrace	 0.95	 14.2	 70	 3	 3
Landrace	 0.71	 9.9	 61.7	 3	 4
Landrace	 0.81	 10.6	 58.4	 3	 3
Landrace	 0.61	 29	 41.2	 4	 3
Landrace	 0.85	 14.2	 56.4	 3	 3
Landrace	 0.77	 7.6	 61.4	 3	 3
Landrace	 0.87	 11.2	 63	 3	 4
Landrace	 0.87	 11.6	 61	 3	 2
